date;water_level
2016-06-20 15:00:00;0.32
2016-06-20 16:00:00;0.35
2016-06-20 17:00:00;0.44
2016-06-22 17:00:00;0.45
2016-06-23 17:00:00;0.46
2016-06-24 17:00:00;0.44
2016-06-24 18:00:00;0.44
2016-06-24 19:00:00;0.47
2016-06-25 18:00:00;0.46
2016-06-25 19:00:00;0.46
2016-06-25 20:00:00;0.47
2016-07-01 12:00:00;0.47
2016-07-01 13:00:00;0.46
2016-07-02 13:00:00;0.44
2016-07-02 14:00:00;0.44
2016-07-03 13:00:00;0.44
2016-07-03 14:00:00;0.41
2016-07-03 15:00:00;0.46
2016-07-04 14:00:00;0.43
2016-07-04 15:00:00;0.42
2016-07-04 16:00:00;0.44
2016-07-05 15:00:00;0.47
2016-07-05 16:00:00;0.43
2016-07-06 16:00:00;0.43
2016-07-07 17:00:00;0.38
2016-07-17 13:00:00;0.45
2016-07-17 14:00:00;0.46
2016-07-18 15:00:00;0.47
2016-07-31 13:00:00;0.46
2016-08-01 13:00:00;0.44
2016-08-01 14:00:00;0.4
2016-08-01 15:00:00;0.43
2016-08-02 14:00:00;0.41
2016-08-02 15:00:00;0.4
2016-08-03 15:00:00;0.4
2016-08-03 16:00:00;0.44
2016-08-03 17:00:00;0.47
2016-08-04 16:00:00;0.47
2016-08-16 13:00:00;0.46
2016-08-16 15:00:00;0.47
2016-08-30 13:00:00;0.44
2016-08-30 14:00:00;0.35
2016-08-30 15:00:00;0.34
2016-09-15 13:00:00;0.44
2016-09-15 14:00:00;0.4
2016-09-15 15:00:00;0.43
2016-09-16 15:00:00;0.43
2016-09-16 16:00:00;0.47
2016-09-20 05:00:00;0.47
2016-09-21 05:00:00;0.45
2016-09-21 06:00:00;0.47
2016-10-20 04:00:00;0.47
2016-10-20 05:00:00;0.41
2016-10-20 06:00:00;0.44
2016-10-21 06:00:00;0.41
2016-10-21 07:00:00;0.46
2016-11-02 03:00:00;0.44
2016-11-02 05:00:00;0.42
2016-11-15 02:00:00;0.39
2016-11-15 03:00:00;0.38
2016-11-15 04:00:00;0.45
2016-11-16 02:00:00;0.4
2016-11-16 03:00:00;0.33
2016-11-16 04:00:00;0.37
2016-11-16 05:00:00;0.44
2016-11-17 03:00:00;0.45
2016-11-17 05:00:00;0.41
2016-11-17 06:00:00;0.47
2016-11-18 04:00:00;0.47
2016-11-18 05:00:00;0.46
2016-11-18 06:00:00;0.41
2016-12-01 04:00:00;0.47
2016-12-12 00:00:00;0.46
2016-12-12 01:00:00;0.37
2016-12-12 02:00:00;0.46
2016-12-14 01:00:00;0.45
2016-12-14 02:00:00;0.31
2016-12-14 03:00:00;0.32
2016-12-15 03:00:00;0.46
2016-12-15 04:00:00;0.44
2016-12-16 17:00:00;0.32
2016-12-17 01:00:00;0.41
2016-12-17 02:00:00;0.27
2016-12-17 03:00:00;0.19
2016-12-17 04:00:00;0.26
2016-12-17 05:00:00;0.17
2016-12-17 06:00:00;0.29
2016-12-17 07:00:00;0.38
2016-12-19 05:00:00;0.44
2016-12-19 06:00:00;0.4
2016-12-19 07:00:00;0.34
2016-12-19 08:00:00;0.35
2016-12-19 09:00:00;0.3
2016-12-25 23:00:00;0.47
2016-12-26 01:00:00;0.34
2016-12-26 02:00:00;0.45
2016-12-27 02:00:00;0.44
2016-12-31 03:00:00;0.46
2016-12-31 04:00:00;0.27
2016-12-31 05:00:00;0.17
2016-12-31 06:00:00;0.36
2017-01-02 05:00:00;0.33
2017-01-02 06:00:00;0.35
2017-01-02 07:00:00;0.38
2017-01-02 08:00:00;0.39
2017-01-09 00:00:00;0.42
2017-01-09 01:00:00;0.38
2017-01-09 23:00:00;0.37
2017-01-10 00:00:00;0.31
2017-01-10 01:00:00;0.19
2017-01-10 02:00:00;0.21
2017-01-10 03:00:00;0.31
2017-01-11 00:00:00;0.43
2017-01-11 01:00:00;0.24
2017-01-11 02:00:00;0.24
2017-01-11 03:00:00;0.31
2017-01-11 04:00:00;0.39
2017-01-12 01:00:00;0.35
2017-01-12 02:00:00;0.16
2017-01-12 03:00:00;0.18
2017-01-12 04:00:00;0.24
2017-01-12 05:00:00;0.32
2017-01-14 01:00:00;0.4
2017-01-14 02:00:00;0.22
2017-01-14 03:00:00;0.02
2017-01-14 04:00:00;0.02
2017-01-14 05:00:00;-0.03
2017-01-14 06:00:00;0.11
2017-01-16 04:00:00;0.45
2017-01-16 05:00:00;0.37
2017-01-16 06:00:00;0.44
2017-01-16 07:00:00;0.47
2017-01-28 02:00:00;0.47
2017-01-28 03:00:00;0.43
2017-01-29 03:00:00;0.42
2017-01-29 04:00:00;0.32
2017-01-29 05:00:00;0.35
2017-02-03 19:00:00;0.45
2017-02-06 20:00:00;0.39
2017-02-06 21:00:00;0.28
2017-02-06 22:00:00;0.04
2017-02-06 23:00:00;0.05
2017-02-07 00:00:00;0.06
2017-02-07 01:00:00;0.07
2017-02-07 02:00:00;0.21
2017-02-07 03:00:00;0.25
2017-02-07 04:00:00;0.45
2017-02-08 00:00:00;0.42
2017-02-08 01:00:00;0.46
2017-02-09 02:00:00;0.35
2017-02-09 03:00:00;0.45
2017-02-11 01:00:00;0.43
2017-02-11 02:00:00;0.22
2017-02-11 03:00:00;0.38
2017-02-11 04:00:00;0.29
2017-02-12 02:00:00;0.46
2017-02-12 03:00:00;0.37
2017-02-12 04:00:00;0.34
2017-02-12 05:00:00;0.47
2017-02-27 02:00:00;0.32
2017-02-27 03:00:00;0.21
2017-02-27 04:00:00;0.16
2017-02-27 05:00:00;0.2
2017-02-27 06:00:00;0.34
2017-02-28 15:00:00;0.37
2017-02-28 16:00:00;0.31
2017-02-28 17:00:00;0.35
2017-03-03 16:00:00;0.41
2017-03-03 17:00:00;0.38
2017-03-03 18:00:00;0.36
2017-03-03 19:00:00;0.39
2017-03-03 20:00:00;0.45
2017-03-04 19:00:00;0.44
2017-03-04 20:00:00;0.38
2017-03-04 21:00:00;0.46
2017-03-07 23:00:00;0.47
2017-03-08 00:00:00;0.47
2017-03-11 23:00:00;0.42
2017-03-12 00:00:00;0.31
2017-03-12 01:00:00;0.19
2017-03-12 02:00:00;0.01
2017-03-12 03:00:00;0.06
2017-03-12 04:00:00;0.14
2017-03-12 05:00:00;0.32
2017-03-13 03:00:00;0.37
2017-03-13 04:00:00;0.42
2017-03-13 05:00:00;0.47
2017-03-14 03:00:00;0.45
2017-03-14 04:00:00;0.44
2017-03-14 05:00:00;0.38
2017-03-14 06:00:00;0.47
